|Rod Blagojevich Never-Say-Die 500|,,,,,,,,,,
|10|,|23|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,56,|Skid Marks Racing|,|A|,|1995|,|Dodge|,|Neon|,505,01:19.739,,
2,25,|BuckSnort Racing Team|,|A|,|1987|,|BMW|,|CRAPPY 325|,503,01:19.123,,
3,117,|Scuderia Arruginito|,|A|,|1969|,|Alfa Romeo|,|Berlina|,499,01:22.083,2,
4,808,|Delta House|,|A|,|1984|,|Alfa Romeo|,|GTV-6|,493,01:19.508,6,
5,34,|Top Fool Elemonator|,|A|,|1995|,|Subaru|,|Impreza|,490,01:22.886,,
6,30,|CART - Chicago Amish Rumspringa Team|,|A|,|1986|,|BMW|,|325|,487,01:22.164,,
7,871,|Chicken and Waffles|,|B|,|1987|,|VW|,|Quantum Syncro Wagon|,483,01:27.715,,
8,27,|Warhunks|,|A|,|1993|,|Ford|,|Taurus SHO|,482,01:20.917,,
9,83,|Red Rocket Ratnest Revival|,|A|,|1989|,|Ford|,|Taurus SHO|,479,01:18.323,1,
10,240,|Keystone Kops|,|A|,|1984|,|Volvo|,|244|,474,01:21.384,,
11,9,|Rally Rolla|,|B|,|1989|,|Toyota|,|Corolla All-Trac Sedan|,469,01:28.589,,
12,36,|Save TheTa-Tas Racing|,|B|,|1984|,|Chevrolet|,|Camaro|,468,01:18.002,,
13,53,|LemonAid Racing|,|C|,|1996|,|GEO|,|Metro|,464,01:29.959,,
14,11,|The Blue Shells|,|B|,|1989|,|Honda|,|Accord|,459,01:24.843,,
15,24,|Track Pillagerz!|,|B|,|1999|,|Buick|,|LeSabre|,458,01:25.885,,
16,187,|THE Tools|,|A|,|1987|,|Merkur|,|XR4ti|,453,01:22.006,,
17,79,|Team MEDs (Midwest Engine Destroyers) Formerly Flaming Fiero Gangsta Crackers|,|C|,|1988|,|1988 Pontiac Fiero GT|,,451,01:23.549,,
18,42,|Bobsleds R Us|,|A|,|1995|,|Honda|,|Civic DX|,444,01:25.504,,
19,710,|Big Oil Racing|,|B|,|1989|,|Pontiac|,|Firebird|,441,01:23.787,,
20,97,|Crushed Red Pepper Racing|,|A|,|1986|,|Toyota|,|MR2|,438,01:23.168,19,
21,111,|Landshark|,|B|,|1993|,|Mazda|,|MX-3|,432,01:24.248,,
22,22,|King Euro Trash|,|B|,|1995|,|Dodge|,|Neon|,429,01:25.495,,
23,88,|Scirocket II|,|C|,|1984|,|VW|,|Scirocket|,427,01:24.163,,
24,66,|Clueless Party Vikings Vintage Racers Group|,|A|,|1986|,|Ford|,|Mustang|,427,01:24.231,,
25,85,|Dai Mondai I|,|A|,|1985|,|Toyota|,|MR2|,426,01:19.611,,
26,86,|VolvOwned|,|C|,|1986|,|Volvo|,|240 dl|,421,01:26.082,,
27,43,|Long Live the King|,|B|,|1993|,|ford|,|probe|,417,01:23.296,,
28,127,|The Cheap Bastards|,|B|,|1996|,|Dodge|,|Neon|,417,01:25.768,,
29,87,|Dai Mondai II|,|A|,|1989|,|Toyota|,|Celica|,416,01:22.825,,
30,37,|Pink Ladies|,|A|,|1996|,|mazda|,|miata|,409,01:21.826,,
31,61,|Clueless Racing|,|A|,||,||,|LLC|,406,01:19.018,,
32,48,|Free Candy Racing|,|B|,|1989|,|Honda|,|Civic|,405,01:23.061,,
33,19,|Gimmie A Box|,|B|,|1989|,|Volvolet|,|740|,399,01:25.700,,
34,41,|Team Dirt Bag|,|A|,|1983|,|Porsche|,|944|,397,01:22.003,,
