|Lemons Arse-Freeze-Apolooza|,,,,,,,,,,
|12|,|4|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,760,|POS Racing|,|A|,|1990|,|BMW|,|e30|,312,02:14.382,,
2,111,|Eyesore Racing|,|A|,|1992|,|Mazda|,|Miata|,312,02:12.698,,
3,995,|Help Dubai|,|A|,|1986|,|Porsche|,|944|,307,02:12.702,,
4,2,|The Most Interesting Car in the World|,|A|,|1983|,|BMW|,|533i|,306,02:14.687,,
5,74,|B-Team - Kill Phil|,|A|,|1986|,|BMW|,|e30|,305,02:16.813,,
6,15,|OFF CONSISTENTLY|,|A|,|1985|,|Nissan|,|300 zx|,302,02:15.034,2,
7,110,|Priapism Racing|,|A|,|1987|,|BMW|,|325ie|,297,02:12.320,,
8,16,|Lipstick on a Pig|,|A|,|1991|,|Nissan|,|Sentra|,296,02:23.039,,
9,95,|Model T GT|,|A|,|1927|,|Ford|,|T|,295,02:10.950,,
10,84,|Barbarian Motorworks|,|A|,|1987|,|BMW|,|325is|,295,02:13.394,,
11,565,|Mazdarachis|,|A|,|1985|,|Mazda|,|RX7|,290,02:17.310,,
12,647,|Hit and Run|,|A|,|1988|,|Mazda|,|RX7 302 V8 Conversion|,289,02:19.245,,
13,100,|Japanese Zeros|,|A|,|1986|,|toyota|,|Supra|,289,02:25.236,,
14,47,|E=MC HAMMERED 2|,|A|,|2000|,|Ford|,|Crown Victoria|,287,02:23.344,,
15,93,|CLERGY MC|,|B|,|1991|,|nissan|,|nx2000|,287,02:13.330,,
16,21,|OLD Fast Auto Race Team & Sons 1|,|B|,|1987|,|Porsche|,|924S|,285,02:16.802,,
17,242,|Faulknor Auto Racing Team|,|A|,|1985|,|BMW|,|535|,284,02:18.220,,
18,3,|Wienerschmoker 4|,|A|,|1985|,|BMW|,|325e|,283,02:17.320,,
19,45,|E=MCHAMMERED|,|B|,|1987|,|BMW|,|325e|,283,02:20.166,,
20,73,|1UP: Mario Capone and the Untouchables|,|A|,|1991|,|Nissan|,|Sentra|,282,02:19.769,,
21,969,|SIERRA AUTO RECYCLING|,|B|,|2000|,|Ford|,|Crown Vic|,281,02:26.199,,
22,26,|Team Apathy|,|B|,|1989|,|Saab|,|9000|,280,02:16.024,,
23,58,|Prickstine|,|A|,|1987|,|BMW|,|325e|,279,02:19.460,,
24,114,|Zoom-Zoom...BOOM|,|B|,|1992|,|Ford|,|Escort GT|,279,02:19.781,,
25,48,|Cheetors|,|A|,|1991|,|Nissan|,|Sentra|,278,02:18.251,10,
26,51,|Uber Vogel: Hans-Am|,|B|,|1987|,|Mercedes|,|190E|,277,02:16.266,,
27,189,|SteamPunkaZoid Racing|,|A|,|1991|,|Mazda|,|Miata|,267,02:27.778,1,
28,30,|Thundercock Racing Team #1|,|B|,|1987|,|Mazda|,|Mx6 (Faux BMW E30)|,264,02:21.821,,
29,411,|Team Pinachi|,|B|,|1982|,|Mazda|,|RX-7|,264,02:21.667,,
30,83,|Dirty Duck Racing Magic Rabbit|,|B|,|1983|,|VW|,|Rabbit GTI|,263,02:24.345,,
31,76,|$500 Buck Chuck|,|A|,|2000|,|Ford|,|Crown Victoria|,262,02:15.623,1,
32,430,|Petty Cash Racing|,|C|,|1989|,|Jeep|,|Cherokee|,261,02:27.176,,
33,117,|The Fat and the Furious|,|A|,|1990|,|Mazda|,|Miata|,261,02:26.993,5,
34,89,|Volcano Motorsports|,|A|,|1986|,|Totota|,,259,02:22.663,,
