|B.F.E. GP 2011|,,,,,,,,,,
|7|,|9|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,55,|Ghetto Motorsports West|,|A|,|1980|,|Mazda|,|RX7|,305,02:17.919,,
2,48,|U Boat|,|B|,|1995|,|Dodge|,|Stealth|,305,02:24.575,,
3,2,|Plan B Racing|,|A|,|1996|,|Mazda|,|626|,301,02:26.857,,
4,14,|Racing for Cancer Awareness|,|A|,|1994|,|Acura|,|Integra|,290,02:24.766,,
5,101,|Japanese Zeros|,|A|,|1988|,|Toyota|,|Supra|,289,02:26.794,,
6,430,|Petty Cash Racing|,|B|,|1989|,|Jeep|,|Cherokee|,285,02:27.307,,
7,5,|Jetti Knight|,|B|,|1991|,|VW|,|Jetta|,284,02:28.307,,
8,89,|Time Travelers of Doom|,|C|,|1987|,|Pontiac|,|Fiero|,275,02:26.233,,
9,86,|Who's on First?|,|A|,|1988|,|Mazda|,|RX-7|,272,02:27.553,,
10,57,|Red or Green|,|B|,|1993|,|Mitsubishi|,|Eclipse|,271,02:28.364,,
11,111,|Jolly Raunchers|,|A|,|1994|,|Volkswagen|,|Jetta|,267,02:18.913,,
12,100,|Colorado Cone Killers|,|B|,|1984|,|BMW|,|533i|,266,02:25.566,,
13,11,|Ow-Dee|,|A|,|1990|,|Audi|,|90|,266,02:26.571,,
14,93,|Team Spidey|,|A|,|1993|,|Mitsubishi|,|Eclipse|,266,02:35.985,,
15,944,|The Red Barron|,|A|,|1984|,|Porsche|,|944|,266,02:29.842,,
16,945,|Octoberpest|,|A|,|1985|,|Porsche|,|944|,263,02:26.418,,
17,1,|Jamaican Bobsled|,|A|,|1986|,|Toyota|,|MR2|,262,02:33.198,,
18,71,|Panic Attack|,|B|,|1988|,|Chevrolet|,|Camaro|,260,02:32.793,,
19,407,|40/40 Racing|,|A|,|1998|,|Ford|,|Escort|,255,02:30.737,,
20,7,|Casino Racing|,|A|,|1992|,|Honda|,|Civic HB|,254,02:15.446,,
21,776,|B.F.E. Rebels|,|B|,|1990|,|Subaru|,|Legacy|,253,02:24.265,,
22,8,|Project Yellow Racing|,|A|,|1986|,|Honda|,|CRX|,252,02:20.634,,
23,127,|Team Marvin Martian|,|B|,|1986|,|Saab|,|9000|,252,02:19.981,,
24,28,|Texan Ski Car|,|B|,|1982|,|Mazda|,|RX-7|,225,02:31.086,,
25,26,|The Ricky Bobby's|,|A|,|1991|,|Nissan|,|240sx|,219,02:33.471,,
26,82,|Jerk Chicken 1|,|A|,|1982|,|Toyota|,|Supra|,219,02:23.503,,
27,0,|Brick Shithouse|,|A|,|1990|,|Audi|,|90|,216,02:23.764,,
28,64,|I'ma Wario!|,|C|,|1990|,|Mazda|,|Protege|,206,02:33.559,,
29,88,|DOGMA Racing|,|A|,|1988|,|Toyota|,|Supra|,205,02:21.562,,
30,65,|Dumb & Dumber|,|C|,|1995|,|Saturn|,|SL2|,204,02:29.877,,
31,21,|Bavarian Brew Crew Racing|,|B|,|1975|,|BMW|,|2002|,203,02:34.090,,
32,18,|Project Yellow Racing|,|A|,|1994|,|Mazda|,|Miata|,197,02:26.164,,
33,72,|RocketSurgery|,|C|,|1956|,|Renault|,|4CV|,197,02:36.586,,
34,50,|NASA|,|C|,|1978|,|Ford|,|LTD Country Squire Station Wagon|,194,02:45.309,,
35,301,|White Water Moken|,|C|,|1968|,|Austin|,|Moke|,190,02:37.795,,
36,25,|The Randy Hare|,|B|,|1978|,|VW|,|Rabit|,185,02:35.909,,
37,113,|Pigs May Fly|,|C|,|1986|,|Honda|,|Civic CRX|,176,02:38.010,,
38,77,|Metal Beavers|,|A|,|1993|,|Toyota|,|Celica|,175,02:26.103,,
39,235,|Fukushima Cleanup Crew|,|C|,|1981|,|Plymouth|,|Sapporo|,174,02:49.217,,
40,23,|Volatile RAM|,|C|,|1989|,|Toyota|,|MRolla|,167,02:27.542,,
41,44,|Lederhosen of Fire|,|B|,|1994|,|Honda|,|Civic|,166,02:31.314,,
42,22,|MQ's Starving Artists|,|A|,|1987|,|BMW|,|325|,159,02:28.670,,
43,27,|West Side Auto Punks|,|A|,|1984|,|Nissan|,|300zx|,130,02:31.770,,
44,928,|Dirt Poor-sche Racing|,|B|,|1982|,|Porsche|,|928|,128,02:38.405,,
45,13,|Airy Boing|,|A|,|1986|,|BMW|,|535i|,118,02:27.535,,
46,888,|The Judd Gang|,|A|,|1989|,|Merkur|,|XR4TI|,108,02:23.293,,
47,365,|Speed Holes Racing|,|C|,|1965|,|Rambler|,|Marlin|,97,02:28.564,,
48,38,|Home Skooled Racing Academy|,|A|,|1986|,|Honda|,|CRX|,69,02:37.310,,
49,42,|Zerg Rush|,|B|,|1991|,|Mercury|,|Capri|,65,02:32.876,,
50,303,|Earnhardt's Revenge|,|A|,|1989|,|VW|,|Jetta GLI|,65,02:32.940,,
51,212,|Colorado Beach Boyz|,|A|,|1992|,|Madza|,|Miata|,56,02:32.427,,
52,81,|Sabor Latino|,|A|,|1990|,|Mazda|,|RX7|,49,03:13.013,,
53,69,|Wagons West|,|B|,|1988|,|Audi|,|200wagon|,32,02:39.346,,
54,169,|Mustache Ride|,|B|,|1984|,|Volvo|,|240 Wagon|,18,02:36.511,,
55,39,|Black Pearl|,|A|,|1998|,|Volkswagen|,|GTi|,7,02:34.925,,
56,9,|Team Antero|,,|2001|,|Honda|,|Accord|,,,,
