|American Irony|,,,,,,,,,,
|7|,|16|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,56,|Skid Marks Racing|,|A|,|1995|,|Dodge|,|Neon|,439,01:45.002,,
2,25,|Bucksnort Racing|,|A|,|1987|,|BMW|,|325|,436,01:43.526,,
3,24,|Back to the Drawing Board|,|A|,|1989|,|BMW|,|325|,433,01:44.438,,
4,111,|Team Reynolds Style|,|A|,|1995|,|Toyota|,|Celica|,428,01:45.083,,
5,30,|Fukushima Sushi Delivery|,|A|,|1986|,|BMW|,|POS 325|,414,01:51.252,,
6,48,|Free Candy Racing|,|A|,|1989|,|Honda|,|Civic|,413,01:49.723,,
7,43,|Bison Bandits|,|A|,|1991|,|Lincoln|,|Mark VII|,407,01:45.774,5,
8,86,|Little Lebowski Urban Achievers|,|B|,|1986|,|Volvo|,|245|,407,01:49.704,,
9,411,|Pickup Trash|,|B|,|1998|,|Chevy|,|S10 LumberHauler|,406,01:49.043,,
10,555,|Greek Squad|,|A|,|1990|,|Acura|,|Integra|,398,01:46.234,,
11,36,|Theta Tau Racing|,|B|,|1995|,|Ford|,|Probe GT|,396,01:48.434,,
12,78,|Dos Limons|,|B|,|1979|,|Ford|,|Fiesta|,391,01:45.823,,
13,4,|Bluberry Fields Forever|,|A|,|1995|,|Subaru|,|Impreza|,390,01:46.974,5,
14,90,|Euro Trash|,|A|,|1990|,|VW|,|Jetta|,380,01:45.923,,
15,103,|You came in that thing? You're braver than I thought|,|B|,|1988|,|Ford / Porsche|,|Thunderbird / 944|,378,01:49.358,,
16,79,|Dos Limons|,|B|,|1978|,|Ford|,|Fiesta|,372,01:51.711,,
17,138,|Team Sucker Punch|,|B|,|1989|,|Chevy|,|Camaro|,372,01:51.806,,
18,128,|Team NonSequitur|,|A|,|1992|,|Acura|,|Integra|,368,01:46.625,,
19,314,|PI-nuts|,|A|,|1994|,|Infiniti|,|J30|,367,01:48.568,,
20,8,|Grey Poopon|,|A|,|1994|,|Honda|,|civic|,366,01:51.624,4,
21,797,|White Trash Racing|,|A|,|1995|,|Dodge|,|Neon|,356,01:50.790,,
22,50,|Donut Dash|,|B|,|2004|,|Ford|,|Crown Vic|,347,01:54.015,,
23,101,|Byte Marks Racing|,|B|,|1992|,|Ford|,|Escort|,347,01:52.435,,
24,39,|Save The Ta-Tas Racing|,|B|,|1984|,|Chevy|,|Camaro|,345,01:44.436,,
25,6,|Team Sheen|,|A|,|1994|,|Acura|,|Integra|,338,01:51.775,1,
26,32,|HardDriveRacing2|,|B|,|2006|,|Honda|,|Civic|,337,01:53.176,,
27,20,|Road Kill|,|A|,|1996|,|Ford|,|Escort|,335,01:54.370,,
28,33,|Por Sport Racing|,|C|,|1993|,|Ford|,|Mustang LX|,317,01:56.507,,
29,9,|Rally Rolla|,|B|,|1989|,|Toyota|,|Corolla All-trac Sedan|,310,01:55.864,,
30,61,|Clueless Racing|,|A|,|1989|,|Honda|,|Civic|,302,01:43.015,,
31,38,|Buckeye Blitz|,|B|,|1985|,|Honda|,|Accord|,298,01:52.543,,
32,42,|C&H Racing|,|B|,|1985|,|Volvo|,|740|,259,01:54.845,,
33,603,|Shameless Sellouts' Diffsonline Crapcan|,|A|,|1983|,|BMW|,|635csi|,253,01:48.828,,
34,91,|The Austin Powers Power Hour Featuring His Swedish Made Penis Enlarger with Special Guest Doctor Evil and His Sharks with Freakin Lazer Beems Attached to Their Heads|,|B|,|1996|,|Mitsubishi|,|Eclipse|,249,01:48.794,,
35,99,|Team Jager Bombers|,|A|,|1986|,|mazda|,|RX-7|,229,01:44.184,,
36,63,|Team Cavette|,|B|,|1995|,|Chevy|,|Cavalier|,211,01:47.211,,
37,23,|In It To Finish Racing|,|B|,|1992|,|Honda|,|CRX|,198,01:51.908,,
38,2,|Charnal House|,|B|,|1994|,|Geo|,|Metro|,196,01:48.075,,
39,613,|The Zippys|,|B|,|1992|,|HONDA|,|ACCORD|,191,01:54.228,3,
